dwa_id,dwa_title,automation_feasibility_today,llm_exposure,physical_embodiment_required,interpersonal_demand,judgment_under_uncertainty,accountability_requirement,error_cost,verdict,confidence,rationale,rubric_version,model,scored_at,n_raters,score_disagreement,raters
4.A.1.a.1.b.10,Review work orders or schedules to determine operations or procedures.,55.0,77.5,7.5,12.5,32.5,30.0,35.0,augmentable,medium,Work-order parsing and routing is well handled by MES/ERP rules and increasingly by document-reading models; the binding constraint is that the resulting operational decision is usually owned by a supervisor who reconciles the paperwork with shop-floor reality.,2026-09-16.1,claude-opus-5,2026-09-16T21:55:20Z,2,2.9,claude-opus-5;claude-sonnet-5
4.A.1.a.1.b.12,Evaluate reports or designs to determine work needs.,32.5,79.0,7.5,17.5,57.5,42.5,42.5,augmentable,medium,"Reading a report or design and inferring what work is needed is squarely in LLM territory, but the inference drives resource commitments and rests on tacit context the documents omit.",2026-09-16.1,claude-opus-5,2026-09-16T21:55:20Z,2,6.0,claude-opus-5;claude-sonnet-5
4.A.1.a.1.b.15,Review details of technical drawings or specifications.,32.5,62.5,12.5,7.5,42.5,45.0,55.0,augmentable,medium,"CAD/PDM software already extracts dimensions and tolerances automatically, but multimodal reading of legacy or annotated drawings remains error-prone and misread specifications propagate into costly physical rework.",2026-09-16.1,claude-opus-5,2026-09-16T21:55:20Z,2,3.6,claude-opus-5;claude-sonnet-5
4.A.1.a.1.b.7,Read documents to gather technical information.,62.5,91.0,5.0,5.0,27.5,22.5,27.5,largely_automatable,high,This is pure information extraction from text — the core competence of retrieval-augmented language models; only verification of citation fidelity keeps a human nearby.,2026-09-16.1,claude-opus-5,2026-09-16T21:55:20Z,2,4.6,claude-opus-5;claude-sonnet-5
4.A.1.a.1.b.8,Review technical documents to plan work.,40.0,82.5,5.0,12.5,45.0,37.5,37.5,augmentable,medium,"The reading half is highly exposed, but converting documents into an actual work plan requires site- and crew-specific context that is not in the documents.",2026-09-16.1,claude-opus-5,2026-09-16T21:55:20Z,2,4.3,claude-opus-5;claude-sonnet-5
4.A.1.a.1.b.9,Review blueprints or specifications to determine work requirements.,30.0,63.5,15.0,10.0,45.0,47.5,55.0,augmentable,medium,"BIM-based quantity takeoff automates parts of this, yet interpreting blueprints against field conditions and code compliance still needs a licensed or experienced human whose misreading has structural consequences.",2026-09-16.1,claude-opus-5,2026-09-16T21:55:20Z,2,5.4,claude-opus-5;claude-sonnet-5
4.A.1.a.1.c.1,Collect evidence for legal proceedings.,11.0,35.0,67.5,42.5,65.0,88.5,86.5,human_anchored,high,"Chain of custody and admissibility require a named, sworn human collector; digital-forensics tooling assists but cannot itself attest to provenance in court.",2026-09-16.1,claude-opus-5,2026-09-16T21:55:20Z,2,8.9,claude-opus-5;claude-sonnet-5
4.A.1.a.1.c.2,Examine crime scenes to obtain evidence.,6.5,17.5,92.5,27.5,72.5,90.0,91.0,human_anchored,high,"Physical presence at an uncontrolled, one-time-only scene plus sworn accountability for evidence integrity makes this irreducibly embodied and human.",2026-09-16.1,claude-opus-5,2026-09-16T21:55:20Z,2,6.4,claude-opus-5;claude-sonnet-5
4.A.1.a.1.c.5,Examine records or other types of data to investigate criminal activities.,37.5,75.0,5.0,17.5,67.5,77.5,75.0,augmentable,medium,"Transaction-monitoring and link-analysis systems already flag patterns at scale, but investigative conclusions that trigger legal action must be adopted and defended by an accountable investigator.",2026-09-16.1,claude-opus-5,2026-09-16T21:55:20Z,2,5.7,claude-opus-5;claude-sonnet-5
4.A.1.a.1.c.7,Investigate illegal or suspicious activities.,15.0,45.0,47.5,50.0,78.5,86.5,82.5,human_anchored,high,"Investigation blends surveillance, interviewing and discretionary judgment about people's liberty; automated detection supplies leads but not the authority or the situational reading.",2026-09-16.1,claude-opus-5,2026-09-16T21:55:20Z,2,8.6,claude-opus-5;claude-sonnet-5
